Insulation,Temperature,Num_Occupants,Avg_Age,Home_Size,predicted_heating_oil
5,69,10,70.1,7,247.47052836986822
5,80,1,66.7,1,214.0624150825605
4,89,9,67.8,7,222.06999834146927
7,81,9,52.4,6,208.15669780468053
4,58,8,22.9,7,164.04597418294873
4,58,6,37.4,3,179.22854663825905
6,51,2,51.6,3,220.6245117991811
2,73,5,37.4,4,161.8680035635319
9,39,1,56.9,7,265.4594861973799
8,84,5,64.5,2,220.3727835350163
10,74,6,58.3,1,221.63044270024028
5,49,6,68.6,6,259.55477728269824
8,45,2,33.9,8,215.78335156373726
3,49,4,49.7,4,210.06541852711962
9,66,6,66.2,5,252.4007570708739
9,57,10,70.1,7,273.2401130052404
9,66,10,32.9,6,191.7065678962953
4,47,3,55.2,6,232.58271420383977
5,53,1,19.8,7,167.59768263495585
5,77,3,66.9,5,229.36331467394834
3,66,6,64.1,3,219.07263833337163
6,87,7,36.1,6,168.5537530447387
10,47,1,71.3,4,280.1452386525268
10,76,3,59.5,7,241.71036214010024
3,60,4,68.2,4,235.5872322386007
4,86,7,29.9,1,134.1564057062685
8,69,9,62.2,1,225.16612126769468
3,67,5,24.8,3,143.8561375020374
3,78,6,67.3,7,227.38274656927322
4,43,3,46.0,8,224.94859921337303
7,39,10,29.4,7,204.0335058710021
4,66,7,40.7,8,194.1940827732453
5,61,4,32.2,3,170.95232614618158
3,58,2,62.1,4,226.11490150000913
7,67,6,39.5,4,190.06164686144953
9,87,10,54.5,1,198.57663266774773
10,47,8,31.2,1,193.34907606650913
10,84,4,36.5,3,178.29185719404063
2,61,9,34.1,7,174.8289581896817
5,73,3,57.8,2,206.07968284339347
7,71,1,61.0,5,231.41679643775439
2,69,1,32.4,7,166.08043331510416
5,85,1,41.7,1,162.30846159393798
3,72,8,18.9,6,137.29005821215594
8,87,2,56.8,4,210.03489152184213
6,69,4,33.2,1,163.39503989654742
3,73,3,48.2,3,183.37265861509633
6,72,4,35.5,4,174.65272726346467
3,70,6,37.9,4,169.08003795309992
9,53,5,40.3,5,214.76285057267444
8,74,5,35.6,4,180.5956383648205
5,76,4,68.8,4,230.48911300691148
8,88,6,26.8,6,157.8973096398052
3,65,9,17.2,8,146.3072856395795
10,88,1,69.8,6,248.0023449804719
2,58,3,42.5,7,194.43670034080145
8,59,6,60.0,4,239.72449581178543
4,77,9,18.8,5,133.2434764192359
9,83,9,58.3,6,225.27687165129282
4,50,7,29.8,4,174.75869970368825
10,49,10,48.9,6,240.6580254577258
9,54,4,19.0,7,180.016012605424
4,89,9,42.9,2,159.01214429510543
8,48,1,66.6,5,265.8611252601903
3,39,6,62.8,4,243.24156276110062
8,41,3,64.7,8,277.48838751434585
2,60,9,19.8,1,129.57353233746548
6,63,9,65.3,3,234.92510191678434
8,56,4,69.4,5,263.68228743533683
4,57,2,53.6,1,205.1967263824318
6,70,4,40.7,3,183.08407787752608
2,52,10,20.9,6,154.2731069018092
3,38,2,55.4,5,233.95976229589706
5,64,9,17.8,1,133.80945150339087
10,87,2,52.1,2,202.45651683036692
3,55,6,34.8,2,169.90259291099682
5,38,3,62.9,5,255.6737877232492
7,86,6,44.9,5,186.9563358628699
5,47,6,52.3,8,236.7184480127105
3,70,3,72.2,4,234.6598621403117
4,47,4,22.0,8,175.78157395607042
8,49,8,46.1,3,218.53180582520605
9,88,10,37.8,7,185.04572038418212
2,68,10,65.3,8,230.90000175221041
6,38,5,27.9,2,183.27659488374923
2,81,3,17.1,3,113.6086746892995
7,50,8,51.2,4,226.66678700716466
8,85,6,49.5,7,206.71927963029427
8,76,1,30.1,7,178.64516183345108
3,72,7,47.9,5,189.29442784705364
6,65,3,53.6,6,221.57441478505962
7,61,1,54.6,2,218.46800456429344
8,48,8,53.5,6,242.93728700808097
2,53,4,27.4,8,173.13698247493988
4,87,8,26.7,3,133.37614684956063
3,82,6,52.0,4,185.38886105980714
6,67,1,25.7,6,167.2855209767182
9,71,8,47.5,5,212.23664753143188
8,74,9,30.2,3,166.47349343688023
10,42,9,33.2,7,220.31581103865335
8,63,1,68.9,3,250.85018336056203
8,50,6,51.5,1,221.924280356528
6,78,4,66.9,6,235.3185193312961
7,58,6,58.2,3,230.17736236218533
5,53,7,51.6,3,214.15859632980488
6,78,5,23.3,8,158.79551080571605
9,88,8,63.8,3,222.03612795437925
4,45,8,72.6,8,272.7601809209091
2,63,3,29.0,7,164.4905819670658
10,61,6,53.8,5,237.06686448834293
10,79,9,54.5,5,222.2144937734687
5,43,9,59.0,7,249.19695983188566
5,70,8,39.8,3,176.82823729506316
4,88,1,35.9,2,148.03516124102163
6,85,7,25.9,5,147.78156793973426
9,74,4,61.4,3,230.36676722674983
7,78,5,72.8,3,240.65989467466366
5,58,4,57.6,1,215.3909064416005
7,52,1,57.0,7,246.68046443323334
3,55,10,40.4,1,176.6401163538179
9,67,9,39.9,6,204.29030757098366
2,45,1,17.5,1,139.67704226873255
4,61,1,32.2,2,164.4850552591655
5,73,8,58.3,3,209.30303705829908
5,70,3,70.2,6,244.87290801824489
3,59,3,68.3,3,233.65668731951297
2,80,2,38.2,6,164.17245317461402
10,42,4,30.3,6,212.54125645194526
9,61,1,20.8,4,168.37764551584394
6,76,10,60.7,2,211.5570069855448
8,82,8,72.6,3,240.10357580036944
7,51,1,72.4,1,257.7461431820727
5,89,2,65.1,7,222.03462390643
9,70,3,67.4,1,239.06412961996864
3,55,7,20.8,7,159.01454575099515
3,48,8,70.1,6,255.2412909658732
2,39,6,53.1,7,230.51559164897867
8,85,3,63.5,3,221.13221385487958
5,54,4,55.1,3,220.46222582241563
10,69,4,61.1,5,244.3141699276216
2,52,3,44.2,4,193.3717166962964
5,54,3,70.5,2,246.67646001709932
9,70,8,27.8,7,182.08366114492128
3,42,4,66.0,1,237.5560270675489
8,71,5,22.6,2,152.2150127113999
5,53,5,44.4,2,197.69422220341585
4,59,7,29.9,2,160.7905636687238
8,61,5,63.4,4,244.6123116723007
6,82,2,71.7,3,231.79799396247665
2,51,10,70.6,2,236.71868437322405
9,56,4,27.4,4,184.70347728044598
5,69,6,68.7,8,248.6976055777015
8,53,3,67.9,1,250.95236533463827
10,44,10,32.9,1,198.8231557391429
10,73,1,23.7,3,164.11472990579193
8,56,5,27.7,4,181.25882242408582
5,60,8,61.7,6,236.55266336580223
10,62,5,47.4,8,233.74322553381546
10,74,10,18.9,2,149.3686192473304
10,75,1,30.8,8,191.67960134834874
3,63,4,43.0,7,194.69574867861465
7,41,3,30.8,2,190.36067564650511
4,67,1,67.1,7,241.29150464922347
2,81,3,16.0,7,124.19402800335396
4,58,6,49.7,6,212.05693865709463
2,41,2,51.9,5,220.88019892817545
10,78,4,25.4,5,168.79295508883564
10,86,4,48.2,2,195.5728824558563
8,56,9,33.6,7,201.2365660645128
3,79,10,41.7,1,158.24639173327964
4,72,7,29.5,1,145.5655979015391
4,73,7,55.0,2,196.22080863325363
9,73,2,25.9,3,164.27310867710872
4,85,4,69.6,5,223.51687413763574
5,65,1,71.6,3,242.7269580975962
9,53,7,55.3,7,249.18645594520416
7,85,9,58.2,8,222.01459908622437
5,62,8,60.8,6,233.10771671343755
9,87,6,24.6,6,158.42952561155727
10,73,1,48.8,3,211.71270046089273
10,77,5,57.6,6,233.71331819137026
10,44,5,26.2,2,190.17819397264623
10,62,8,24.3,4,176.73101626388458
6,40,10,35.7,7,211.27625720107926
5,74,10,71.2,6,242.04304888681494
10,82,8,32.4,3,171.5410223515481
2,68,10,32.9,8,169.4587967328771
7,41,3,65.2,2,255.5945476423405
6,40,2,59.2,6,254.1004922443998
3,90,4,52.3,4,179.36183208132857
3,62,9,52.0,5,205.40357068677542
3,65,9,50.0,7,205.33919401643058
9,40,6,63.9,5,270.63639471609986
5,43,1,60.9,6,251.06039152898404
8,88,7,17.7,2,127.79082623218974
