Insulation,Temperature,Num_Occupants,Avg_Age,Home_Size,predicted_heating_oil,predicted_heating_oil_log
5,69,10,70.1,7,247.47052836986822,246.05922879167326
5,80,1,66.7,1,214.0624150825605,208.28691827280605
4,89,9,67.8,7,222.06999834146927,216.62441285769881
7,81,9,52.4,6,208.15669780468053,201.58475405520858
4,58,8,22.9,7,164.04597418294873,157.92398065133062
4,58,6,37.4,3,179.22854663825905,171.7092722203621
6,51,2,51.6,3,220.6245117991811,213.15293427999353
2,73,5,37.4,4,161.8680035635319,157.0861546479724
9,39,1,56.9,7,265.4594861973799,268.1901701023972
8,84,5,64.5,2,220.3727835350163,216.16145146366583
10,74,6,58.3,1,221.63044270024028,217.50878966531016
5,49,6,68.6,6,259.55477728269824,260.4160382780732
8,45,2,33.9,8,215.78335156373726,206.65149455854834
3,49,4,49.7,4,210.06541852711962,200.77346584157823
9,66,6,66.2,5,252.4007570708739,253.59860692152128
9,57,10,70.1,7,273.2401130052404,281.61310847381594
9,66,10,32.9,6,191.7065678962953,184.29724039995804
4,47,3,55.2,6,232.58271420383977,225.51907274827937
5,53,1,19.8,7,167.59768263495585,160.576109109822
5,77,3,66.9,5,229.36331467394834,224.58982414313525
3,66,6,64.1,3,219.07263833337163,212.08417957727605
6,87,7,36.1,6,168.5537530447387,163.86129501160377
10,47,1,71.3,4,280.1452386525268,291.74574912235255
10,76,3,59.5,7,241.71036214010024,240.20793715924822
3,60,4,68.2,4,235.5872322386007,230.4823434100087
4,86,7,29.9,1,134.1564057062685,137.1919240446877
8,69,9,62.2,1,225.16612126769468,220.87169349923826
3,67,5,24.8,3,143.8561375020374,142.8904712968202
3,78,6,67.3,7,227.38274656927322,221.550771841853
4,43,3,46.0,8,224.94859921337303,215.88244771013652
7,39,10,29.4,7,204.0335058710021,194.14752495550832
4,66,7,40.7,8,194.1940827732453,185.32274012160357
5,61,4,32.2,3,170.95232614618158,164.6856932606023
3,58,2,62.1,4,226.11490150000913,219.06394353074728
7,67,6,39.5,4,190.06164686144953,182.6881160989112
9,87,10,54.5,1,198.57663266774773,193.5431548904131
10,47,8,31.2,1,193.34907606650913,185.7420482818117
10,84,4,36.5,3,178.29185719404063,173.41615319213818
2,61,9,34.1,7,174.8289581896817,167.00927445558614
5,73,3,57.8,2,206.07968284339347,199.08844716903482
7,71,1,61.0,5,231.41679643775439,226.9032233080011
2,69,1,32.4,7,166.08043331510416,159.7489187666451
5,85,1,41.7,1,162.30846159393798,158.9922989764952
3,72,8,18.9,6,137.29005821215594,137.92061789433887
8,87,2,56.8,4,210.03489152184213,204.41450374948604
6,69,4,33.2,1,163.39503989654742,159.2250554205368
3,73,3,48.2,3,183.37265861509633,176.17141125043494
6,72,4,35.5,4,174.65272726346467,168.56442060956707
3,70,6,37.9,4,169.08003795309992,163.16257083211298
9,53,5,40.3,5,214.76285057267444,207.105343559487
8,74,5,35.6,4,180.5956383648205,174.40287469183767
5,76,4,68.8,4,230.48911300691148,226.12099266741848
8,88,6,26.8,6,157.8973096398052,155.27243150387767
3,65,9,17.2,8,146.3072856395795,143.9647590772438
10,88,1,69.8,6,248.0023449804719,249.53044735574798
2,58,3,42.5,7,194.43670034080145,184.74070270000738
8,59,6,60.0,4,239.72449581178543,236.6914363538085
4,77,9,18.8,5,133.2434764192359,135.56147535566035
9,83,9,58.3,6,225.27687165129282,221.14128268967795
4,50,7,29.8,4,174.75869970368825,167.0946301335626
10,49,10,48.9,6,240.6580254577258,237.12052970003407
9,54,4,19.0,7,180.016012605424,172.21794611132566
4,89,9,42.9,2,159.01214429510543,156.37940348087503
8,48,1,66.6,5,265.8611252601903,269.9380091537765
3,39,6,62.8,4,243.24156276110062,238.22192328405066
8,41,3,64.7,8,277.48838751434585,285.4002247079907
2,60,9,19.8,1,129.57353233746548,132.47482030725766
6,63,9,65.3,3,234.92510191678434,231.04416870883912
8,56,4,69.4,5,263.68228743533683,267.7675877601595
4,57,2,53.6,1,205.1967263824318,197.0209573560061
6,70,4,40.7,3,183.08407787752608,176.25984477543784
2,52,10,20.9,6,154.2731069018092,149.618998501119
3,38,2,55.4,5,233.95976229589706,226.40886103373916
5,64,9,17.8,1,133.80945150339087,136.04648410218098
10,87,2,52.1,2,202.45651683036692,197.24160492034883
3,55,6,34.8,2,169.90259291099682,163.34057943367753
5,38,3,62.9,5,255.6737877232492,254.3009206999252
7,86,6,44.9,5,186.9563358628699,180.76547438783746
5,47,6,52.3,8,236.7184480127105,230.32060661565274
3,70,3,72.2,4,234.6598621403117,230.14578714861457
4,47,4,22.0,8,175.78157395607042,167.01326985781384
8,49,8,46.1,3,218.53180582520605,211.29735723770358
9,88,10,37.8,7,185.04572038418212,179.1757975011472
2,68,10,65.3,8,230.90000175221041,224.56878640921508
6,38,5,27.9,2,183.27659488374923,174.64499180348793
2,81,3,17.1,3,113.6086746892995,122.35104448905238
7,50,8,51.2,4,226.66678700716466,220.15061541513478
8,85,6,49.5,7,206.71927963029427,200.23415612487247
8,76,1,30.1,7,178.64516183345108,172.0787748356756
3,72,7,47.9,5,189.29442784705364,181.40717682889547
6,65,3,53.6,6,221.57441478505962,214.64207942950458
7,61,1,54.6,2,218.46800456429344,211.9045013659858
8,48,8,53.5,6,242.93728700808097,239.34261259951754
2,53,4,27.4,8,173.13698247493988,164.7421487398201
4,87,8,26.7,3,133.37614684956063,136.41079863542828
3,82,6,52.0,4,185.38886105980714,178.52140575168895
6,67,1,25.7,6,167.2855209767182,161.44797407373886
9,71,8,47.5,5,212.23664753143188,205.80094676493593
8,74,9,30.2,3,166.47349343688023,162.21704561686985
10,42,9,33.2,7,220.31581103865335,212.29388380590774
8,63,1,68.9,3,250.85018336056203,251.35131313763395
8,50,6,51.5,1,221.924280356528,215.56103236266065
6,78,4,66.9,6,235.3185193312961,231.8264260810573
7,58,6,58.2,3,230.17736236218533,225.0552922329891
5,53,7,51.6,3,214.15859632980488,206.15644052052411
6,78,5,23.3,8,158.79551080571605,154.7890859301879
9,88,8,63.8,3,222.03612795437925,218.46099506826891
4,45,8,72.6,8,272.7601809209091,277.94950717805307
